t0.0,t0.05,t0.1,t0.15,t0.2,t0.25,t0.3,t0.35,t0.4,t0.45,t0.5,t0.55,t0.6,t0.65
"(0.0,-0.01,1.0)","(1.92,-0.06,0.99)","(3.83,-0.03,0.95)","(5.75,0.03,0.89)","(7.67,0.0,0.8)","(9.59,-0.07,0.69)","(11.5,0.08,0.56)","(13.42,-0.06,0.4)","(15.34,0.03,0.22)","(17.25,0.02,0.01)","(19.17,-0.07,0)","(21.09,0.03,0)",,
"(0.0,0.03,1.0)","(1.97,0.06,0.99)","(3.94,-0.01,0.95)","(5.92,0.04,0.89)","(7.89,0.08,0.8)","(9.86,0.04,0.69)","(11.83,-0.04,0.56)","(13.8,-0.08,0.4)","(15.78,-0.04,0.22)","(17.75,0.08,0.01)","(19.72,-0.0,0)","(21.69,0.07,0)",,
"(0.0,0.01,1.0)","(1.82,-0.03,0.99)","(3.65,-0.0,0.95)","(5.47,-0.09,0.89)","(7.29,-0.01,0.8)","(9.11,-0.09,0.69)","(10.94,0.09,0.56)","(12.76,-0.04,0.4)","(14.58,-0.07,0.22)","(16.4,0.0,0.01)","(18.23,0.08,0)","(20.05,-0.01,0)","(21.87,0.06,0)",
"(0.0,-0.02,1.0)","(2.03,0.0,0.99)","(4.06,-0.03,0.95)","(6.08,-0.07,0.89)","(8.11,0.07,0.8)","(10.14,-0.1,0.69)","(12.17,-0.05,0.56)","(14.2,0.05,0.4)","(16.22,-0.01,0.22)","(18.25,-0.1,0.01)","(20.28,0.03,0)",,,
"(0.0,-0.05,1.0)","(1.8,0.03,0.99)","(3.59,0.02,0.95)","(5.39,-0.03,0.89)","(7.18,-0.07,0.8)","(8.98,0.08,0.69)","(10.78,0.04,0.56)","(12.57,0.02,0.4)","(14.37,-0.03,0.22)","(16.16,-0.01,0.01)","(17.96,-0.01,0)","(19.75,0.07,0)","(21.55,0.1,0)",
"(0.0,0.05,1.0)","(1.93,-0.01,0.99)","(3.86,-0.05,0.95)","(5.78,-0.05,0.89)","(7.71,0.08,0.8)","(9.64,0.09,0.69)","(11.57,-0.09,0.56)","(13.49,-0.02,0.4)","(15.42,-0.07,0.22)","(17.35,-0.09,0.01)","(19.28,-0.08,0)","(21.2,0.05,0)",,
"(0.0,-0.09,1.0)","(1.98,-0.05,0.99)","(3.95,-0.08,0.95)","(5.93,0.1,0.89)","(7.91,-0.04,0.8)","(9.88,0.06,0.69)","(11.86,0.07,0.56)","(13.84,0.06,0.4)","(15.81,-0.0,0.22)","(17.79,0.04,0.01)","(19.77,0.01,0)","(21.75,0.09,0)",,
"(0.0,-0.09,1.0)","(1.93,-0.08,0.99)","(3.87,-0.09,0.95)","(5.8,-0.03,0.89)","(7.73,-0.05,0.8)","(9.67,-0.05,0.69)","(11.6,0.09,0.56)","(13.53,0.07,0.4)","(15.47,0.02,0.22)","(17.4,-0.07,0.01)","(19.33,0.09,0)","(21.27,-0.02,0)",,
"(0.0,-0.06,1.0)","(1.84,-0.05,0.99)","(3.68,0.02,0.95)","(5.52,0.08,0.89)","(7.36,0.04,0.8)","(9.2,-0.07,0.69)","(11.04,0.06,0.56)","(12.88,0.07,0.4)","(14.72,-0.01,0.22)","(16.56,0.06,0.01)","(18.41,-0.1,0)","(20.25,0.07,0)",,
"(0.0,-0.06,1.0)","(1.74,-0.09,0.99)","(3.48,0.0,0.95)","(5.22,-0.0,0.89)","(6.96,0.08,0.8)","(8.7,0.04,0.69)","(10.44,0.01,0.56)","(12.18,-0.02,0.4)","(13.92,0.05,0.22)","(15.66,-0.07,0.01)","(17.4,-0.08,0)","(19.14,0.07,0)","(20.88,-0.09,0)",
"(0.0,0.03,1.0)","(1.99,-0.1,0.99)","(3.98,0.01,0.95)","(5.97,-0.02,0.89)","(7.96,-0.02,0.8)","(9.95,0.1,0.69)","(11.94,0.09,0.56)","(13.93,-0.08,0.4)","(15.92,-0.05,0.22)","(17.91,0.05,0.01)","(19.9,-0.05,0)","(21.89,0.05,0)",,
"(0.0,0.02,1.0)","(1.72,-0.01,0.99)","(3.44,-0.09,0.95)","(5.17,0.05,0.89)","(6.89,-0.06,0.8)","(8.61,-0.02,0.69)","(10.33,-0.06,0.56)","(12.06,-0.03,0.4)","(13.78,-0.0,0.22)","(15.5,-0.09,0.01)","(17.22,0.03,0)","(18.94,-0.09,0)","(20.67,0.08,0)",
"(0.0,0.09,1.0)","(1.86,0.09,0.99)","(3.72,0.05,0.95)","(5.58,-0.08,0.89)","(7.44,0.08,0.8)","(9.3,-0.02,0.69)","(11.16,-0.01,0.56)","(13.02,0.01,0.4)","(14.88,0.01,0.22)","(16.74,-0.06,0.01)","(18.6,-0.04,0)","(20.46,-0.08,0)",,
"(0.0,-0.04,1.0)","(1.98,-0.02,0.99)","(3.95,-0.08,0.95)","(5.93,-0.04,0.89)","(7.9,0.06,0.8)","(9.88,0.03,0.69)","(11.85,-0.06,0.56)","(13.83,0.04,0.4)","(15.8,-0.09,0.22)","(17.78,0.05,0.01)","(19.75,-0.09,0)","(21.73,-0.09,0)",,
"(0.0,0.0,1.0)","(2.0,-0.0,0.99)","(3.99,0.0,0.95)","(5.99,0.1,0.89)","(7.98,-0.07,0.8)","(9.98,-0.08,0.69)","(11.97,0.01,0.56)","(13.97,-0.02,0.4)","(15.96,-0.0,0.22)","(17.96,-0.06,0.01)","(19.95,-0.07,0)","(21.95,-0.04,0)",,
"(0.0,0.1,1.0)","(2.03,-0.03,0.99)","(4.07,0.03,0.95)","(6.1,-0.06,0.89)","(8.13,0.04,0.8)","(10.16,0.04,0.69)","(12.2,-0.09,0.56)","(14.23,0.08,0.4)","(16.26,-0.04,0.22)","(18.29,-0.04,0.01)","(20.33,0.01,0)",,,
"(0.0,0.07,1.0)","(1.91,0.05,0.99)","(3.81,-0.01,0.95)","(5.72,-0.09,0.89)","(7.62,-0.06,0.8)","(9.53,-0.03,0.69)","(11.44,0.03,0.56)","(13.34,-0.02,0.4)","(15.25,0.01,0.22)","(17.15,-0.1,0.01)","(19.06,-0.03,0)","(20.96,0.02,0)",,
"(0.0,0.07,1.0)","(1.85,0.09,0.99)","(3.7,0.06,0.95)","(5.55,-0.05,0.89)","(7.41,0.07,0.8)","(9.26,-0.04,0.69)","(11.11,0.05,0.56)","(12.96,-0.03,0.4)","(14.81,0.09,0.22)","(16.66,0.02,0.01)","(18.51,-0.07,0)","(20.37,-0.02,0)",,
"(0.0,0.02,1.0)","(1.84,-0.01,0.99)","(3.69,-0.03,0.95)","(5.53,-0.04,0.89)","(7.38,0.06,0.8)","(9.22,-0.1,0.69)","(11.07,0.01,0.56)","(12.91,-0.01,0.4)","(14.76,0.04,0.22)","(16.6,0.02,0.01)","(18.45,-0.03,0)","(20.29,0.08,0)",,
"(0.0,-0.05,1.0)","(1.84,0.05,0.99)","(3.69,-0.02,0.95)","(5.53,0.09,0.89)","(7.37,-0.06,0.8)","(9.22,0.08,0.69)","(11.06,0.01,0.56)","(12.9,0.02,0.4)","(14.74,-0.1,0.22)","(16.59,0.02,0.01)","(18.43,-0.05,0)","(20.27,0.08,0)",,
"(0.0,-0.06,1.0)","(2.02,0.04,0.99)","(4.04,-0.0,0.95)","(6.05,-0.09,0.89)","(8.07,0.09,0.8)","(10.09,-0.08,0.69)","(12.11,0.01,0.56)","(14.13,-0.1,0.4)","(16.14,0.04,0.22)","(18.16,0.01,0.01)","(20.18,0.01,0)",,,
"(0.0,-0.04,1.0)","(1.69,-0.01,0.99)","(3.39,-0.07,0.95)","(5.08,0.03,0.89)","(6.77,-0.04,0.8)","(8.46,-0.07,0.69)","(10.16,-0.06,0.56)","(11.85,-0.01,0.4)","(13.54,0.08,0.22)","(15.23,0.06,0.01)","(16.93,-0.08,0)","(18.62,0.09,0)","(20.31,0.05,0)",
"(0.0,-0.06,1.0)","(2.04,-0.03,0.99)","(4.08,-0.02,0.95)","(6.13,0.06,0.89)","(8.17,-0.03,0.8)","(10.21,-0.03,0.69)","(12.25,0.01,0.56)","(14.29,0.09,0.4)","(16.33,0.01,0.22)","(18.38,-0.07,0.01)","(20.42,0.05,0)",,,
"(0.0,-0.03,1.0)","(1.75,-0.06,0.99)","(3.51,0.07,0.95)","(5.26,0.0,0.89)","(7.02,-0.1,0.8)","(8.77,-0.07,0.69)","(10.52,-0.08,0.56)","(12.28,0.06,0.4)","(14.03,0.02,0.22)","(15.78,-0.02,0.01)","(17.54,0.05,0)","(19.29,-0.02,0)","(21.05,-0.01,0)",
"(0.0,0.02,1.0)","(1.79,-0.06,0.99)","(3.57,0.05,0.95)","(5.36,0.03,0.89)","(7.14,0.04,0.8)","(8.93,-0.1,0.69)","(10.72,-0.01,0.56)","(12.5,-0.03,0.4)","(14.29,-0.1,0.22)","(16.08,0.09,0.01)","(17.86,0.08,0)","(19.65,-0.07,0)","(21.43,0.02,0)",
"(0.0,0.07,1.0)","(1.67,-0.0,0.99)","(3.34,0.02,0.95)","(5.01,-0.09,0.89)","(6.67,-0.02,0.8)","(8.34,-0.05,0.69)","(10.01,0.03,0.56)","(11.68,-0.0,0.4)","(13.35,0.09,0.22)","(15.02,-0.02,0.01)","(16.68,-0.01,0)","(18.35,0.04,0)","(20.02,-0.03,0)","(21.69,-0.04,0)"
"(0.0,-0.02,1.0)","(2.06,-0.09,0.99)","(4.12,0.06,0.95)","(6.19,-0.1,0.89)","(8.25,-0.09,0.8)","(10.31,0.09,0.69)","(12.37,-0.07,0.56)","(14.43,0.02,0.4)","(16.5,0.04,0.22)","(18.56,0.09,0.01)","(20.62,0.07,0)",,,
"(0.0,-0.03,1.0)","(1.95,-0.04,0.99)","(3.91,0.05,0.95)","(5.86,-0.04,0.89)","(7.81,0.06,0.8)","(9.77,0.06,0.69)","(11.72,-0.03,0.56)","(13.67,-0.03,0.4)","(15.63,0.08,0.22)","(17.58,-0.07,0.01)","(19.53,0.02,0)","(21.49,0.02,0)",,
"(0.0,0.03,1.0)","(1.75,-0.02,0.99)","(3.51,-0.07,0.95)","(5.26,0.05,0.89)","(7.02,-0.08,0.8)","(8.77,0.05,0.69)","(10.53,-0.04,0.56)","(12.28,0.04,0.4)","(14.04,-0.03,0.22)","(15.79,0.07,0.01)","(17.55,-0.05,0)","(19.3,0.06,0)","(21.06,-0.02,0)",
"(0.0,-0.1,1.0)","(1.74,0.05,0.99)","(3.48,0.05,0.95)","(5.21,0.06,0.89)","(6.95,-0.03,0.8)","(8.69,0.02,0.69)","(10.43,0.03,0.56)","(12.16,0.08,0.4)","(13.9,-0.02,0.22)","(15.64,0.01,0.01)","(17.38,0.09,0)","(19.11,0.05,0)","(20.85,0.0,0)",
"(0.0,-0.02,1.0)","(2.05,0.05,0.99)","(4.11,0.02,0.95)","(6.16,0.06,0.89)","(8.21,0.05,0.8)","(10.26,-0.02,0.69)","(12.32,0.02,0.56)","(14.37,0.02,0.4)","(16.42,-0.03,0.22)","(18.48,0.09,0.01)","(20.53,0.03,0)",,,
"(0.0,0.04,1.0)","(1.91,-0.06,0.99)","(3.82,0.05,0.95)","(5.74,0.02,0.89)","(7.65,0.01,0.8)","(9.56,0.06,0.69)","(11.47,0.02,0.56)","(13.38,-0.03,0.4)","(15.3,0.03,0.22)","(17.21,0.06,0.01)","(19.12,-0.09,0)","(21.03,0.05,0)",,
"(0.0,-0.04,1.0)","(2.02,-0.03,0.99)","(4.03,-0.02,0.95)","(6.05,-0.08,0.89)","(8.06,-0.01,0.8)","(10.08,0.03,0.69)","(12.09,-0.07,0.56)","(14.11,0.01,0.4)","(16.13,0.0,0.22)","(18.14,0.02,0.01)","(20.16,-0.06,0)",,,
"(0.0,0.0,1.0)","(1.78,-0.04,0.99)","(3.56,-0.02,0.95)","(5.34,-0.09,0.89)","(7.13,-0.03,0.8)","(8.91,0.08,0.69)","(10.69,-0.09,0.56)","(12.47,0.01,0.4)","(14.25,0.06,0.22)","(16.03,-0.01,0.01)","(17.82,-0.03,0)","(19.6,0.01,0)","(21.38,-0.02,0)",
"(0.0,-0.0,1.0)","(2.04,0.04,0.99)","(4.08,0.02,0.95)","(6.13,-0.05,0.89)","(8.17,0.09,0.8)","(10.21,0.01,0.69)","(12.25,-0.03,0.56)","(14.29,-0.07,0.4)","(16.33,0.03,0.22)","(18.38,-0.06,0.01)","(20.42,-0.01,0)",,,
"(0.0,0.07,1.0)","(1.71,-0.07,0.99)","(3.43,-0.08,0.95)","(5.14,-0.06,0.89)","(6.86,0.09,0.8)","(8.57,-0.02,0.69)","(10.29,-0.06,0.56)","(12.0,-0.09,0.4)","(13.72,0.08,0.22)","(15.43,-0.04,0.01)","(17.15,-0.09,0)","(18.86,0.07,0)","(20.58,0.03,0)",
"(0.0,0.08,1.0)","(1.94,0.0,0.99)","(3.87,0.09,0.95)","(5.81,0.02,0.89)","(7.74,0.06,0.8)","(9.68,-0.0,0.69)","(11.62,-0.01,0.56)","(13.55,-0.08,0.4)","(15.49,-0.02,0.22)","(17.42,0.05,0.01)","(19.36,-0.1,0)","(21.3,-0.04,0)",,
"(0.0,0.06,1.0)","(2.06,-0.05,0.99)","(4.12,-0.02,0.95)","(6.18,0.05,0.89)","(8.24,0.07,0.8)","(10.3,-0.0,0.69)","(12.36,0.01,0.56)","(14.42,-0.01,0.4)","(16.47,-0.08,0.22)","(18.53,0.07,0.01)","(20.59,0.07,0)",,,
"(0.0,-0.08,1.0)","(1.92,0.03,0.99)","(3.83,-0.04,0.95)","(5.75,-0.09,0.89)","(7.67,-0.04,0.8)","(9.59,0.08,0.69)","(11.5,0.04,0.56)","(13.42,0.03,0.4)","(15.34,-0.08,0.22)","(17.26,-0.08,0.01)","(19.17,-0.05,0)","(21.09,0.08,0)",,
"(0.0,0.09,1.0)","(1.79,0.09,0.99)","(3.58,-0.07,0.95)","(5.38,0.05,0.89)","(7.17,-0.02,0.8)","(8.96,-0.03,0.69)","(10.75,0.03,0.56)","(12.54,0.03,0.4)","(14.33,-0.04,0.22)","(16.13,-0.06,0.01)","(17.92,0.03,0)","(19.71,0.09,0)","(21.5,0.09,0)",
"(0.0,-0.06,1.0)","(1.93,0.02,0.99)","(3.86,-0.07,0.95)","(5.79,0.0,0.89)","(7.72,-0.06,0.8)","(9.65,-0.09,0.69)","(11.58,0.05,0.56)","(13.51,-0.02,0.4)","(15.44,0.07,0.22)","(17.38,-0.03,0.01)","(19.31,0.01,0)","(21.24,0.02,0)",,
"(0.0,0.01,1.0)","(1.83,0.04,0.99)","(3.65,-0.02,0.95)","(5.48,0.05,0.89)","(7.3,-0.04,0.8)","(9.13,0.02,0.69)","(10.95,0.02,0.56)","(12.78,0.01,0.4)","(14.61,-0.01,0.22)","(16.43,-0.05,0.01)","(18.26,0.09,0)","(20.08,-0.09,0)","(21.91,0.01,0)",
"(0.0,-0.03,1.0)","(1.78,-0.05,0.99)","(3.56,0.07,0.95)","(5.34,0.0,0.89)","(7.13,0.09,0.8)","(8.91,-0.02,0.69)","(10.69,0.05,0.56)","(12.47,-0.08,0.4)","(14.25,-0.08,0.22)","(16.03,-0.05,0.01)","(17.82,0.03,0)","(19.6,-0.0,0)","(21.38,-0.0,0)",
"(0.0,0.01,1.0)","(1.71,0.02,0.99)","(3.43,0.08,0.95)","(5.14,-0.0,0.89)","(6.86,0.07,0.8)","(8.57,0.0,0.69)","(10.28,0.04,0.56)","(12.0,-0.01,0.4)","(13.71,-0.01,0.22)","(15.43,-0.07,0.01)","(17.14,-0.05,0)","(18.86,0.04,0)","(20.57,-0.02,0)",
"(0.0,0.02,1.0)","(1.94,-0.03,0.99)","(3.87,0.05,0.95)","(5.81,0.08,0.89)","(7.75,0.02,0.8)","(9.68,0.04,0.69)","(11.62,0.03,0.56)","(13.56,0.09,0.4)","(15.49,0.1,0.22)","(17.43,-0.05,0.01)","(19.37,0.05,0)","(21.31,-0.02,0)",,
"(0.0,0.05,1.0)","(1.99,-0.0,0.99)","(3.97,-0.07,0.95)","(5.96,-0.0,0.89)","(7.94,0.09,0.8)","(9.93,-0.07,0.69)","(11.91,-0.01,0.56)","(13.9,0.06,0.4)","(15.88,-0.01,0.22)","(17.87,-0.08,0.01)","(19.85,-0.01,0)","(21.84,0.1,0)",,
"(0.0,0.0,1.0)","(1.88,-0.0,0.99)","(3.75,0.07,0.95)","(5.63,0.05,0.89)","(7.51,-0.04,0.8)","(9.39,-0.07,0.69)","(11.26,-0.02,0.56)","(13.14,-0.08,0.4)","(15.02,0.06,0.22)","(16.9,0.01,0.01)","(18.77,0.01,0)","(20.65,0.08,0)",,
"(0.0,-0.03,1.0)","(1.68,-0.06,0.99)","(3.36,-0.05,0.95)","(5.05,-0.1,0.89)","(6.73,0.03,0.8)","(8.41,-0.03,0.69)","(10.09,0.03,0.56)","(11.77,0.08,0.4)","(13.46,-0.07,0.22)","(15.14,-0.01,0.01)","(16.82,-0.06,0)","(18.5,0.0,0)","(20.19,0.08,0)",
"(0.0,0.05,1.0)","(1.69,-0.04,0.99)","(3.37,-0.05,0.95)","(5.06,-0.07,0.89)","(6.74,0.1,0.8)","(8.43,0.02,0.69)","(10.12,0.02,0.56)","(11.8,-0.07,0.4)","(13.49,0.07,0.22)","(15.18,0.02,0.01)","(16.86,0.02,0)","(18.55,0.02,0)","(20.23,0.06,0)",
"(0.0,0.0,1.0)","(2.02,0.05,0.99)","(4.03,-0.04,0.95)","(6.05,-0.08,0.89)","(8.07,-0.02,0.8)","(10.09,0.06,0.69)","(12.1,-0.06,0.56)","(14.12,0.0,0.4)","(16.14,-0.0,0.22)","(18.16,0.0,0.01)","(20.17,0.02,0)",,,
"(0.0,0.04,1.0)","(1.74,-0.01,0.99)","(3.49,-0.08,0.95)","(5.23,-0.04,0.89)","(6.98,-0.07,0.8)","(8.72,0.07,0.69)","(10.47,0.09,0.56)","(12.21,-0.09,0.4)","(13.95,0.07,0.22)","(15.7,0.03,0.01)","(17.44,-0.04,0)","(19.19,-0.07,0)","(20.93,0.08,0)",
"(0.0,-0.09,1.0)","(1.77,0.06,0.99)","(3.54,-0.04,0.95)","(5.31,0.01,0.89)","(7.09,-0.0,0.8)","(8.86,-0.02,0.69)","(10.63,0.02,0.56)","(12.4,0.0,0.4)","(14.17,0.02,0.22)","(15.94,0.07,0.01)","(17.71,0.06,0)","(19.49,-0.08,0)","(21.26,0.1,0)",
"(0.0,0.0,1.0)","(1.8,0.0,0.99)","(3.6,-0.07,0.95)","(5.4,0.09,0.89)","(7.2,-0.01,0.8)","(9.0,0.03,0.69)","(10.81,0.08,0.56)","(12.61,0.03,0.4)","(14.41,-0.01,0.22)","(16.21,-0.06,0.01)","(18.01,-0.08,0)","(19.81,0.09,0)","(21.61,0.1,0)",
"(0.0,0.09,1.0)","(1.8,-0.06,0.99)","(3.6,-0.09,0.95)","(5.39,0.01,0.89)","(7.19,0.08,0.8)","(8.99,-0.04,0.69)","(10.79,0.0,0.56)","(12.58,-0.08,0.4)","(14.38,-0.04,0.22)","(16.18,-0.09,0.01)","(17.98,0.06,0)","(19.77,0.08,0)","(21.57,0.02,0)",
"(0.0,-0.04,1.0)","(1.93,-0.06,0.99)","(3.87,0.03,0.95)","(5.8,-0.1,0.89)","(7.73,0.03,0.8)","(9.67,-0.08,0.69)","(11.6,0.1,0.56)","(13.54,-0.07,0.4)","(15.47,-0.04,0.22)","(17.4,-0.07,0.01)","(19.34,0.09,0)","(21.27,-0.0,0)",,
"(0.0,0.05,1.0)","(1.97,0.0,0.99)","(3.95,-0.0,0.95)","(5.92,0.0,0.89)","(7.9,-0.07,0.8)","(9.87,0.06,0.69)","(11.85,0.02,0.56)","(13.82,0.05,0.4)","(15.8,-0.03,0.22)","(17.77,-0.02,0.01)","(19.75,0.03,0)","(21.72,-0.03,0)",,
"(0.0,0.09,1.0)","(2.02,0.06,0.99)","(4.03,-0.04,0.95)","(6.05,-0.02,0.89)","(8.07,-0.02,0.8)","(10.08,0.07,0.69)","(12.1,-0.08,0.56)","(14.12,0.01,0.4)","(16.13,-0.07,0.22)","(18.15,0.05,0.01)","(20.17,0.01,0)",,,
"(0.0,-0.02,1.0)","(1.77,0.06,0.99)","(3.53,0.08,0.95)","(5.3,0.06,0.89)","(7.06,-0.03,0.8)","(8.83,-0.04,0.69)","(10.6,-0.03,0.56)","(12.36,-0.01,0.4)","(14.13,-0.08,0.22)","(15.89,0.01,0.01)","(17.66,-0.09,0)","(19.43,-0.09,0)","(21.19,-0.07,0)",
"(0.0,0.04,1.0)","(1.87,0.01,0.99)","(3.74,-0.07,0.95)","(5.6,-0.05,0.89)","(7.47,-0.04,0.8)","(9.34,0.09,0.69)","(11.21,-0.0,0.56)","(13.08,-0.05,0.4)","(14.94,0.05,0.22)","(16.81,0.01,0.01)","(18.68,0.08,0)","(20.55,-0.0,0)",,
"(0.0,-0.05,1.0)","(1.88,-0.04,0.99)","(3.76,0.06,0.95)","(5.64,0.0,0.89)","(7.52,-0.01,0.8)","(9.4,0.09,0.69)","(11.27,0.07,0.56)","(13.15,0.08,0.4)","(15.03,-0.02,0.22)","(16.91,-0.02,0.01)","(18.79,0.07,0)","(20.67,0.07,0)",,
"(0.0,0.02,1.0)","(1.69,0.02,0.99)","(3.38,0.08,0.95)","(5.07,0.01,0.89)","(6.75,-0.1,0.8)","(8.44,-0.09,0.69)","(10.13,-0.06,0.56)","(11.82,-0.05,0.4)","(13.51,0.01,0.22)","(15.2,0.03,0.01)","(16.89,-0.08,0)","(18.58,0.01,0)","(20.26,0.03,0)",
"(0.0,-0.01,1.0)","(2.02,-0.03,0.99)","(4.04,-0.02,0.95)","(6.06,0.05,0.89)","(8.07,-0.01,0.8)","(10.09,-0.07,0.69)","(12.11,-0.06,0.56)","(14.13,-0.03,0.4)","(16.15,-0.01,0.22)","(18.17,-0.04,0.01)","(20.19,-0.07,0)",,,
"(0.0,0.07,1.0)","(1.94,-0.08,0.99)","(3.87,0.06,0.95)","(5.81,-0.05,0.89)","(7.74,0.09,0.8)","(9.68,-0.09,0.69)","(11.61,-0.07,0.56)","(13.55,0.07,0.4)","(15.48,0.04,0.22)","(17.42,0.06,0.01)","(19.35,-0.05,0)","(21.29,-0.02,0)",,
"(0.0,-0.08,1.0)","(1.68,-0.06,0.99)","(3.36,-0.06,0.95)","(5.04,-0.02,0.89)","(6.72,-0.05,0.8)","(8.4,0.05,0.69)","(10.08,-0.1,0.56)","(11.76,-0.05,0.4)","(13.43,-0.04,0.22)","(15.11,-0.03,0.01)","(16.79,-0.03,0)","(18.47,-0.01,0)","(20.15,-0.03,0)",
"(0.0,0.08,1.0)","(1.84,-0.04,0.99)","(3.67,0.01,0.95)","(5.51,0.1,0.89)","(7.35,-0.09,0.8)","(9.19,-0.04,0.69)","(11.02,-0.05,0.56)","(12.86,0.03,0.4)","(14.7,-0.09,0.22)","(16.54,-0.01,0.01)","(18.37,0.05,0)","(20.21,-0.03,0)",,
"(0.0,0.03,1.0)","(2.0,0.08,0.99)","(4.0,-0.08,0.95)","(5.99,-0.02,0.89)","(7.99,0.01,0.8)","(9.99,-0.09,0.69)","(11.99,0.04,0.56)","(13.99,0.04,0.4)","(15.99,0.06,0.22)","(17.98,0.04,0.01)","(19.98,0.06,0)","(21.98,-0.09,0)",,
"(0.0,-0.01,1.0)","(1.75,0.08,0.99)","(3.5,-0.05,0.95)","(5.25,-0.05,0.89)","(7.0,0.1,0.8)","(8.75,-0.07,0.69)","(10.5,0.02,0.56)","(12.25,0.02,0.4)","(14.0,0.07,0.22)","(15.75,0.03,0.01)","(17.5,0.01,0)","(19.25,0.03,0)","(21.0,-0.1,0)",
"(0.0,0.07,1.0)","(2.02,-0.06,0.99)","(4.05,-0.02,0.95)","(6.07,-0.08,0.89)","(8.09,-0.1,0.8)","(10.11,-0.04,0.69)","(12.14,0.03,0.56)","(14.16,-0.03,0.4)","(16.18,-0.02,0.22)","(18.2,-0.04,0.01)","(20.23,-0.09,0)",,,
"(0.0,-0.09,1.0)","(1.79,0.07,0.99)","(3.58,0.03,0.95)","(5.36,0.04,0.89)","(7.15,0.06,0.8)","(8.94,0.09,0.69)","(10.73,0.06,0.56)","(12.52,0.02,0.4)","(14.3,-0.06,0.22)","(16.09,-0.02,0.01)","(17.88,0.05,0)","(19.67,0.03,0)","(21.46,0.02,0)",
"(0.0,0.02,1.0)","(2.05,-0.0,0.99)","(4.11,0.08,0.95)","(6.16,0.04,0.89)","(8.21,-0.05,0.8)","(10.27,-0.09,0.69)","(12.32,-0.03,0.56)","(14.38,0.08,0.4)","(16.43,-0.03,0.22)","(18.48,0.06,0.01)","(20.54,-0.0,0)",,,
"(0.0,-0.1,1.0)","(1.8,0.02,0.99)","(3.61,0.03,0.95)","(5.41,-0.09,0.89)","(7.21,0.0,0.8)","(9.02,-0.09,0.69)","(10.82,-0.09,0.56)","(12.62,-0.04,0.4)","(14.43,0.02,0.22)","(16.23,-0.0,0.01)","(18.03,-0.09,0)","(19.84,-0.05,0)","(21.64,0.07,0)",
"(0.0,-0.08,1.0)","(1.95,-0.05,0.99)","(3.91,0.05,0.95)","(5.86,-0.07,0.89)","(7.81,0.03,0.8)","(9.77,-0.02,0.69)","(11.72,0.09,0.56)","(13.68,0.03,0.4)","(15.63,0.04,0.22)","(17.58,-0.0,0.01)","(19.54,0.1,0)","(21.49,-0.02,0)",,
"(0.0,0.1,1.0)","(1.69,-0.03,0.99)","(3.38,0.04,0.95)","(5.08,0.05,0.89)","(6.77,0.1,0.8)","(8.46,0.06,0.69)","(10.15,0.01,0.56)","(11.84,0.01,0.4)","(13.54,0.03,0.22)","(15.23,-0.1,0.01)","(16.92,0.02,0)","(18.61,0.03,0)","(20.3,0.08,0)",
"(0.0,-0.06,1.0)","(1.94,-0.08,0.99)","(3.88,0.05,0.95)","(5.82,-0.04,0.89)","(7.76,0.05,0.8)","(9.69,0.08,0.69)","(11.63,-0.02,0.56)","(13.57,0.03,0.4)","(15.51,-0.02,0.22)","(17.45,0.03,0.01)","(19.39,-0.03,0)","(21.33,-0.08,0)",,
"(0.0,-0.01,1.0)","(1.98,0.03,0.99)","(3.97,0.02,0.95)","(5.95,0.02,0.89)","(7.94,-0.03,0.8)","(9.92,-0.06,0.69)","(11.9,0.03,0.56)","(13.89,-0.03,0.4)","(15.87,0.09,0.22)","(17.86,-0.04,0.01)","(19.84,0.01,0)","(21.83,-0.01,0)",,
"(0.0,-0.1,1.0)","(2.08,0.01,0.99)","(4.16,0.03,0.95)","(6.23,-0.03,0.89)","(8.31,-0.07,0.8)","(10.39,0.02,0.69)","(12.47,-0.06,0.56)","(14.55,-0.05,0.4)","(16.62,0.03,0.22)","(18.7,0.02,0.01)","(20.78,-0.05,0)",,,
"(0.0,0.02,1.0)","(2.03,-0.03,0.99)","(4.07,-0.05,0.95)","(6.1,-0.09,0.89)","(8.13,0.0,0.8)","(10.16,-0.05,0.69)","(12.2,-0.04,0.56)","(14.23,0.03,0.4)","(16.26,0.09,0.22)","(18.29,-0.06,0.01)","(20.33,-0.01,0)",,,
"(0.0,-0.0,1.0)","(1.82,-0.0,0.99)","(3.63,-0.0,0.95)","(5.45,-0.04,0.89)","(7.27,-0.02,0.8)","(9.09,-0.05,0.69)","(10.9,-0.04,0.56)","(12.72,-0.03,0.4)","(14.54,-0.09,0.22)","(16.36,-0.04,0.01)","(18.17,0.08,0)","(19.99,0.04,0)","(21.81,0.04,0)",
"(0.0,0.03,1.0)","(2.03,0.1,0.99)","(4.07,-0.02,0.95)","(6.1,-0.02,0.89)","(8.14,-0.07,0.8)","(10.17,0.03,0.69)","(12.21,-0.1,0.56)","(14.24,0.03,0.4)","(16.28,-0.05,0.22)","(18.31,0.07,0.01)","(20.34,0.01,0)",,,
